Chapter Included,Number of topics,Ranked,Jaccard,Cosine
Original,86,0.6862745098039218,0.24050632911392406,0.6516309688436945
intro,91,0.7792362768496418,0.2625,0.659818996162849
1,92,0.4265245707519241,0.25,0.6529343052829635
2,91,0.6845372460496613,0.24074074074074073,0.6704599838791104
3,97,0.3750089560793867,0.2485207100591716,0.6510116795138201
4,91,0.4789893617021275,0.24074074074074073,0.6591871718238458
5,110,0.32858543159958337,0.27906976744186046,0.6629910359484903
6,90,0.5516124388137057,0.23030303030303031,0.6444778326452376
7,104,0.2025162337662337,0.2485207100591716,0.6341188631957749
8,94,0.43777219430485753,0.24848484848484848,0.6529383676790018
9,92,0.5793940976756333,0.2484472049689441,0.6917011532713337
10,97,0.31269026702618075,0.23837209302325582,0.636655489421675
11,86,0.9394564843481255,0.24050632911392406,0.6516309688436945
12,111,0.3315090781348222,0.27976190476190477,0.6862469746623774
13,86,0.9394564843481255,0.24050632911392406,0.6516309688436945
14,97,0.5159660132170821,0.2634730538922156,0.6654770203449835
15,93,0.35293540153151376,0.24390243902439024,0.6523132908474786
16,98,0.2506750427067834,0.24390243902439024,0.6389813739295274
17,94,0.5730719102397007,0.2422360248447205,0.6582524271844662
18,91,0.43210172744721675,0.2422360248447205,0.6489904540881182
19,103,0.5412305671118897,0.28313253012048195,0.6908215590863112
20,106,0.3016622591613146,0.24571428571428572,0.6564397795568203
21,94,0.2936658249158248,0.22485207100591717,0.644289995761827
22,95,0.4165690261217175,0.24096385542168675,0.6469592327794782
All,251,0.21225715846141668,0.2563176895306859,0.7146406938210468
